build_year,facades,garden,living_area,locality_name,number_rooms,postal_code,price,property_id,property_type,property_url,state,swimming_pool,terrace
2004,2,0,35,Brussels,1,1000,225000,rbu58257,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbu58257,Normal,0,1
2024,3,0,59,Turnhout,1,2300,197000,rbu36061,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu36061,New,0,1
1939,2,0,65,Berchem-Sainte-Agathe,2,1082,169000,vbd48093,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1082/berchem-sainte-agathe/vbd48093,Normal,0,1
2013,2,0,57,Brussels,1,1000,220000,rbu58259,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbu58259,Normal,0,1
2024,3,0,66,Turnhout,1,2300,225000,rbu36063,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu36063,New,0,1
2022,2,0,90,Berchem-Sainte-Agathe,2,1082,320000,vbd48994,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1082/berchem-sainte-agathe/vbd48994,New,0,1
2024,3,0,61,Turnhout,1,2300,202000,rbu36067,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu36067,New,0,1
,,0,37,Brussels,1,1000,219000,rbu60048,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbu60048,Normal,0,0
1966,2,0,114,Ganshoren,2,1083,250000,vbd26573,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbd26573,Normal,0,1
2014,2,0,60,Brussels,1,1000,215000,rbu62122,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbu62122,Normal,0,0
2024,3,0,59,Turnhout,1,2300,202000,rbu36069,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu36069,New,0,1
1969,2,0,100,Ganshoren,2,1083,229000,vbd38111,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbd38111,Normal,0,1
2015,2,0,29,Brussels,1,1000,150000,rbu64197,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbu64197,Normal,0,0
,1,0,76,Ganshoren,2,1083,215000,vbd42948,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbd42948,,0,1
2024,3,0,90,Turnhout,2,2300,305000,rbu36070,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu36070,New,0,1
2008,2,0,77,Brussels,2,1000,287500,rbu64473,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbu64473,Fully renovated,0,0
1965,4,0,114,Ganshoren,3,1083,289000,vbd45416,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbd45416,Normal,0,1
1972,3,0,148,Turnhout,4,2300,245000,rbu60897,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60897,Normal,0,1
2015,,0,76,Brussels,1,1000,225000,rwc41104,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rwc41104,Normal,0,
1965,,0,88,Ganshoren,2,1083,254000,vbd45665,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbd45665,,0,1
2021,2,0,126,Turnhout,3,2300,436100,rbu60898,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60898,New,0,1
2000,2,0,74,Brussels,2,1000,260000,vbd02599,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd02599,Normal,0,0
2007,2,0,64,Turnhout,1,2300,225000,rbu60905,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60905,New,0,0
1951,2,0,98,Ganshoren,2,1083,298000,vbd46788,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbd46788,Excellent,0,1
1969,2,0,102,Turnhout,2,2300,195000,rbu60911,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60911,Normal,0,1
2019,2,0,90,Brussels,2,1000,335000,vbd12617,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd12617,Excellent,0,0
,,0,94,Ganshoren,2,1083,260000,vbd47951,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbd47951,,0,1
,,0,158,Turnhout,2,2300,285000,rbu60914,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60914,Normal,0,1
,2,0,98,Brussels,2,1000,360000,vbd13198,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd13198,Excellent,0,1
1970,2,0,102,Ganshoren,3,1083,230000,vbd48359,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbd48359,Normal,0,1
1960,2,0,75,Ganshoren,2,1083,259000,vbd48975,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbd48975,Normal,0,1
1958,4,0,62,Brussels,2,1000,250000,vbd17576,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd17576,Normal,0,1
1970,2,0,125,Turnhout,3,2300,239500,rbu60915,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60915,Normal,0,1
1947,2,0,87,Ganshoren,2,1083,249000,vbd49072,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbd49072,To be renovated,0,1
1900,2,0,80,Brussels,1,1000,595000,vbd21090,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd21090,Excellent,0,0
2016,3,0,129,Turnhout,2,2300,479000,rbu60916,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60916,Excellent,0,1
1965,2,0,110,Ganshoren,3,1083,299000,vbd49125,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1083/ganshoren/vbd49125,,0,1
2008,2,0,100,Brussels,3,1000,247000,vbd23317,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd23317,To renovate,0,0
1969,3,0,95,Turnhout,2,2300,165000,rbu60918,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60918,Normal,0,0
2004,,0,119,Jette,3,1090,340000,vbd27111,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbd27111,Normal,0,1
,,0,55,Brussels,1,1000,199000,vbd25739,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd25739,Normal,0,0
1986,2,0,96,Turnhout,2,2300,199000,rbu60929,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60929,Normal,0,1
2004,3,0,97,Turnhout,2,2300,214000,rbu60932,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60932,Normal,0,1
,2,0,80,Brussels,2,1000,235000,vbd29373,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd29373,Excellent,0,0
,2,0,67,Jette,1,1090,199000,vbd35004,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbd35004,,0,0
1977,,0,49,Brussels,1,1000,300000,vbd31352,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd31352,,0,0
1986,2,0,140,Turnhout,2,2300,199000,rbu60933,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60933,Normal,0,1
,2,0,113,Jette,2,1090,225000,vbd35073,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbd35073,,0,1
1897,2,0,77,Brussels,1,1000,299000,vbd35342,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd35342,Normal,0,0
1971,2,0,61,Jette,1,1090,195000,vbd45273,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbd45273,Excellent,0,1
2015,2,0,107,Turnhout,2,2300,299000,rbu60936,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60936,Normal,0,1
1964,2,0,73,Jette,2,1090,205000,vbd45801,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbd45801,Normal,0,0
1974,2,0,88,Turnhout,2,2300,180000,rbu60944,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60944,Normal,0,1
2020,4,0,95,Brussels,2,1000,365000,vbd44198,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd44198,New,0,1
1967,2,0,80,Jette,2,1090,235000,vbd46836,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbd46836,Fully renovated,0,1
1972,2,0,117,Turnhout,2,2300,199000,rbu60951,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60951,,0,1
2015,,0,57,Brussels,1,1000,190000,vbd44717,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd44717,,0,0
1974,,0,88,Turnhout,2,2300,209000,rbu60960,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60960,Normal,0,0
,2,0,39,Brussels,1,1000,279000,vbd44719,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd44719,,0,0
1973,2,0,88,Jette,2,1090,225000,vbd46884,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbd46884,Excellent,0,1
1974,2,0,120,Turnhout,2,2300,195000,rbu60968,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60968,Normal,0,1
1930,2,0,65,Brussels,1,1000,235000,vbd45012,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd45012,To be renovated,0,1
,2,0,60,Jette,1,1090,175000,vbd47191,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbd47191,Normal,0,1
,2,0,95,Brussels,2,1000,650000,vbd45050,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd45050,Excellent,0,1
,2,0,195,Turnhout,3,2300,369000,rbu60969,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60969,Excellent,0,1
1974,2,0,55,Jette,1,1090,179000,vbd47388,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbd47388,Normal,0,1
2022,2,0,90,Brussels,2,1000,365000,vbd45066,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd45066,Normal,0,1
,,0,102,Jette,3,1090,299000,vbd47389,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbd47389,Normal,0,1
1980,2,0,149,Turnhout,2,2300,319000,rbu60974,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60974,Normal,0,1
1999,2,0,116,Turnhout,2,2300,289000,rbu60975,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60975,Normal,0,1
1970,2,0,100,Brussels,2,1000,515000,vbd45435,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd45435,Normal,0,1
1930,2,0,79,Jette,1,1090,239000,vbd48021,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1090/jette/vbd48021,Excellent,0,0
1980,2,0,167,Turnhout,2,2300,449000,rbu60977,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60977,Normal,0,1
